lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
21.59168,14.92535,11.88456,21.57128,14.92531,12.10828,21.5723,14.93386,12.18887,21.66786,15.03153,12.30834,0,1,0
21.61284,15.11588,12.54569,21.59534,15.13573,12.71582,21.59714,15.14908,12.77527,21.69218,15.24217,12.87472,1,1,1
21.60652,15.06233,12.38857,21.58817,15.077,12.56864,21.58974,15.08911,12.63214,21.68493,15.18338,12.73548,2,1,2
21.69909,15.13965,12.39952,21.67673,15.14856,12.57655,21.67493,15.1572,12.63898,21.76346,15.24613,12.74148,3,2,0
21.70294,15.17304,12.50587,21.68111,15.18542,12.6763,21.67945,15.19478,12.73556,21.76795,15.2835,12.83629,4,2,1
21.69781,15.12829,12.36146,21.67529,15.13617,12.54155,21.67343,15.14444,12.60486,21.76203,15.23401,12.70951,5,2,2
21.64092,15.07951,12.34907,21.61322,15.08444,12.52911,21.60686,15.08952,12.59212,21.68741,15.17264,12.696,6,3,0
21.64606,15.12407,12.48811,21.61916,15.13416,12.66019,21.61306,15.14073,12.71983,21.69359,15.22359,12.82065,7,3,1
21.64066,15.07723,12.34159,21.61295,15.08213,12.52276,21.60659,15.08724,12.58618,21.68715,15.17041,12.69033,8,3,2
21.76808,15.18732,12.37242,21.74596,15.19391,12.55169,21.74421,15.20176,12.61484,21.83014,15.2891,12.71904,9,4,0
21.77449,15.24361,12.55991,21.75309,15.25471,12.72385,21.75155,15.26368,12.7813,21.83739,15.3502,12.88087,10,4,1
21.76935,15.1987,12.41236,21.74727,15.20535,12.58561,21.74553,15.2132,12.64694,21.83144,15.30037,12.75013,11,4,2
21.61364,15.06758,12.39172,21.58565,15.07331,12.56679,21.57848,15.07814,12.62835,21.65226,15.15588,12.73055,12,5,0
21.61699,15.09639,12.47843,21.58956,15.10578,12.64962,21.58257,15.11167,12.70926,21.65643,15.18992,12.81076,13,5,1
21.61178,15.05127,12.34028,21.58359,15.05587,12.5205,21.57636,15.06039,12.58387,21.65019,15.13866,12.68849,14,5,2
21.51295,14.96771,12.32143,21.47199,14.96457,12.50173,21.45378,14.96142,12.56455,21.50914,15.02566,12.66792,15,6,0
21.51487,14.98433,12.37065,21.47447,14.98514,12.55245,21.45644,14.98317,12.61482,21.51196,15.04848,12.71865,16,6,1
21.51015,14.94314,12.24561,21.46891,14.93851,12.43512,21.45057,14.93468,12.5007,21.50591,14.99892,12.60658,17,6,2
21.47099,14.91063,12.24583,21.43026,14.90772,12.43605,21.41199,14.90445,12.50188,21.46428,14.96657,12.60754,18,7,0
21.47959,14.98414,12.45594,21.4401,14.98845,12.62869,21.42232,14.98784,12.68843,21.47485,15.051,12.78894,19,7,1
21.47363,14.93373,12.31501,21.43317,14.93218,12.49675,21.41501,14.92951,12.55999,21.46732,14.99148,12.66292,20,7,2
21.48429,14.94223,12.31381,21.44726,14.94296,12.49517,21.43138,14.94187,12.55839,21.48153,15.00201,12.66098,21,8,0
21.49159,15.00378,12.48578,21.45576,15.01179,12.65712,21.44038,15.0136,12.71714,21.49108,15.07722,12.82072,22,8,1
21.48521,14.95019,12.33715,21.44836,14.95217,12.51774,21.4326,14.95183,12.58129,21.48298,15.0137,12.68673,23,8,2
21.25857,14.76846,12.32028,21.21528,14.77299,12.50236,21.19232,14.7703,12.56613,21.21683,14.81574,12.6703,24,9,0
21.27345,14.88475,12.58601,21.23231,14.8994,12.74804,21.21036,14.90133,12.80571,21.23656,14.95551,12.9121,25,9,1
21.26355,14.80867,12.41675,21.22086,14.81595,12.58921,21.19823,14.81488,12.6506,21.22346,14.86462,12.75771,26,9,2
21.08523,14.67786,12.4114,21.05103,14.69817,12.58736,21.03392,14.70364,12.65003,21.05835,14.75584,12.75766,27,10,0
21.08749,14.69486,12.44607,21.05375,14.71752,12.62121,21.03674,14.72324,12.68243,21.06092,14.77325,12.78494,28,10,1
21.07839,14.62487,12.2991,21.04327,14.64116,12.48466,21.02571,14.64459,12.54978,21.04915,14.69136,12.65422,29,10,2
21.4772,14.94064,12.33547,21.45085,14.95059,12.51759,21.44334,14.95647,12.58205,21.50213,15.02446,12.68766,30,11,0
21.48305,14.98998,12.47179,21.45767,15.00589,12.64705,21.45051,15.01377,12.70887,21.50958,15.08347,12.81359,31,11,1
21.47702,14.93911,12.33105,21.45075,14.9497,12.51542,21.44327,14.95589,12.58074,21.50211,15.02427,12.68724,32,11,2
21.65903,15.09088,12.3475,21.63815,15.10078,12.52963,21.6368,15.11003,12.59457,21.718,15.19517,12.70273,33,12,0
21.66416,15.13561,12.48873,21.64387,15.1491,12.65908,21.64264,15.15881,12.71854,21.72367,15.24238,12.82027,34,12,1
21.6591,15.09148,12.3495,21.63813,15.10062,12.5292,21.63671,15.10926,12.59253,21.71776,15.19306,12.69727,35,12,2
21.64364,15.07861,12.34922,21.62683,15.09171,12.53074,21.62906,15.10346,12.59483,21.71779,15.19355,12.70055,36,13,0
21.64937,15.12826,12.50318,21.63321,15.14536,12.67248,21.63558,15.15776,12.73137,21.72416,15.24652,12.83194,37,13,1
21.64407,15.0824,12.36157,21.62726,15.09538,12.54084,21.62946,15.10693,12.60389,21.71813,15.19644,12.708,38,13,2
21.60522,15.0493,12.35259,21.58965,15.06423,12.5333,21.59304,15.07702,12.59685,21.68608,15.1701,12.70169,39,14,0
21.61122,15.10081,12.50726,21.59651,15.12121,12.67933,21.60016,15.13561,12.73989,21.69313,15.22812,12.84185,40,14,1
21.6056,15.05262,12.36306,21.59016,15.06856,12.54487,21.59363,15.08195,12.60938,21.6867,15.17533,12.71481,41,14,2
