zone_id,GID,TRACT,AREA,ACRES,PRICE_SHIFTERS,TOTHH,HHPOP,RESUNITS,RESVACANCY,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,NEWDEVACRES,TOTEMP,AGREMPN,MWTEMPN,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGE0519,AGE2044,AGE4564,AGE65P,AREATYPE,CIACRE,COLLFTE,COLLPTE,COUNTY,DISTRICT,EMPRES,GQPOP,HHLDS,HSENROLL,OPRKCST,PRKCST,RESACRE,SD,SFTAZ,SHPOP62P,TERMINAL,TOPOLOGY,TOTACRE,TOTPOP,ZERO,ZONE
1442,525,126100.0,5272042.0,121.028999329,1.0,2414.0,5865.0,2561.0,0.0573994533385,2256.0,305.0,234.0,268.0,357.0,1555.0,711.643570954,1835,4.0,105.0,316.0,475.0,631.0,304.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1434,508,114100.0,7820341.5,179.529998779,1.0,2225.0,4937.0,2424.0,0.082095709571,1962.0,462.0,324.0,411.0,529.0,961.0,1245.25303185,837,3.0,51.0,112.0,236.0,223.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,
246,784,605000.0,4247867.5,97.5179977417,1.0,2834.0,7235.0,2946.0,0.0380176510523,2079.0,867.0,271.0,293.0,489.0,1781.0,640.5579017,4753,13.0,102.0,165.0,696.0,3085.0,692.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,560,201800.0,759732480.0,17441.0585938,1.0,766.0,1939.0,1016.0,0.246062992126,999.0,16.0,128.0,177.0,205.0,256.0,16198.6413596,274,45.0,27.0,9.0,30.0,10.0,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,
705,1205,512507.0,27835386.0,639.013000488,1.0,3308.0,9952.0,3678.0,0.100598151169,2687.0,991.0,709.0,509.0,822.0,1268.0,902.568089672,1263,18.0,83.0,110.0,239.0,653.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,552,201002.0,75353152.0,1729.86999512,1.0,3160.0,9872.0,3514.0,0.100739897553,1759.0,1674.0,1117.0,771.0,673.0,599.0,5986.60044722,1634,51.0,132.0,691.0,128.0,451.0,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,
875,1448,,6510720.0,149.466003418,1.0,951.0,3176.0,1071.0,0.112044817927,944.0,127.0,375.0,250.0,178.0,148.0,795.673545654,13084,82.0,2080.0,814.0,3253.0,3679.0,3176.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,435,356002.0,112120136.0,2573.92407227,1.0,2215.0,6129.0,2422.0,0.0854665565648,2158.0,254.0,140.0,262.0,459.0,1354.0,4208.62874144,358,10.0,33.0,11.0,156.0,54.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1316,561,201900.0,181741088.0,4172.20117188,1.0,622.0,1445.0,819.0,0.240537240537,816.0,,98.0,102.0,105.0,317.0,11246.3267329,569,130.0,204.0,35.0,73.0,58.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,577,11800.0,55254.734375,1.26800000668,1.0,782.0,1649.0,800.0,0.0225,7.0,793.0,443.0,166.0,113.0,60.0,5.57758463048,3052,1.0,113.0,141.0,1954.0,607.0,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,
