juris,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
Livermore,28129.0,75091.0,4514.0,3813.0,6134.0,13668.0,23939.0,5346.0,39885.0,551.0,6483.0,4409.0,11378.0,8549.0,8515.0,0.587514098333,31192540.0,782.061928043
Hayward,44703.0,135086.0,11089.0,9948.0,10746.0,12920.0,28157.0,17380.0,66734.0,115.0,18859.0,6454.0,9557.0,17605.0,14144.0,0.793816812871,65999430.8342,988.992580008
Sonoma County,55635.0,137271.0,12961.0,11153.0,12308.0,19213.0,55319.0,10521.0,35738.0,2959.0,7338.0,3819.0,6268.0,8448.0,6906.0,0.502856161536,29626228.7318,828.983959143
Fremont,69433.0,199837.0,10831.0,9062.0,15214.0,34326.0,48132.0,20736.0,88592.0,362.0,26681.0,7730.0,19753.0,21051.0,13015.0,0.721276905177,77033334.3939,869.529239592
Pleasanton,24523.0,68922.0,2872.0,2760.0,4421.0,14470.0,18208.0,6435.0,59560.0,371.0,7903.0,11658.0,16511.0,10997.0,12120.0,0.673412785589,32086976.0,538.733646743
Dublin,14884.0,39636.0,1559.0,1771.0,3136.0,8418.0,11810.0,2190.0,19011.0,155.0,2168.0,3415.0,3927.0,4642.0,4704.0,0.630143945809,13242086.0,696.548629741
San Ramon,24523.0,65793.0,1774.0,1942.0,3567.0,17240.0,20759.0,4823.0,42024.0,788.0,3565.0,3773.0,9281.0,8800.0,15817.0,0.590659473,22150343.0,527.087925947
Brentwood,16381.0,49299.0,2825.0,2633.0,3985.0,6938.0,16787.0,1230.0,10864.0,269.0,537.0,1725.0,2486.0,3123.0,2724.0,0.487907309227,7138545.4673,657.082609287
Oakley,10324.0,32037.0,1651.0,1664.0,2811.0,4198.0,10980.0,487.0,2410.0,46.0,150.0,655.0,482.0,619.0,458.0,0.470127504554,2214005.0,918.674273859
Antioch,31847.0,95836.0,6542.0,5269.0,7617.0,12419.0,28545.0,6193.0,22188.0,115.0,1464.0,4727.0,3648.0,7895.0,4339.0,0.557838500613,16720084.0308,753.564270363
Contra Costa County,54909.0,148552.0,10320.0,8367.0,10846.0,25376.0,48760.0,10746.0,41648.0,405.0,5386.0,5175.0,9732.0,11528.0,9422.0,0.563053732568,38259737.0849,918.645243107
Napa County,9698.0,24541.0,1701.0,1638.0,1802.0,4557.0,10884.0,938.0,15136.0,1858.0,4369.0,1323.0,1643.0,3663.0,2280.0,0.445516354282,13680724.0,903.85332981
San Francisco,365161.0,821836.0,111311.0,64931.0,64699.0,124220.0,113170.0,263181.0,591542.0,798.0,39125.0,36923.0,191182.0,167134.0,156380.0,1.61332950429,418206925.204,706.97756914
