superdistrict,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
33,58011,149548,10101,8377,10246,29287,46973.0,15220.0,50798,211,3546,4804,12692,16409,13136,0.61749302791,29973710.6313,590.056904431
9,134191,344861,34860,20637,25381,53313,63724.0,80499.0,484864,2225,113584,22979,162952,115538,67586,1.05290785261,268607527.608,553.985298161
17,143717,400484,33357,26250,30146,53964,103908.0,46894.0,169179,298,40909,18106,23604,50331,35931,0.691558879008,131803051.112,779.074537099
16,117155,341691,19006,14745,24020,59384,85630.0,29461.0,180315,648,46415,18646,35301,50134,29171,0.684076842228,138034537.127,765.518881551
18,267449,666481,103377,52247,41295,70530,104319.0,172137.0,261076,562,21647,15157,56887,100179,66644,1.28188057784,163790730.115,627.368008223
24,146528,407959,39599,23430,28586,54913,137292.0,27357.0,87387,870,5455,13555,14087,32769,20651,0.53363633715,65924119.0933,754.392748273
34,55836,147801,6006,5924,8663,35243,32271.0,25060.0,35550,141,1781,4014,9059,13239,7316,0.865111090453,19994065.2018,562.420962077
30,97156,253304,22374,18172,20352,36258,73539.0,26848.0,104542,1596,12224,13166,19514,36589,21453,0.660574661064,70550091.0712,674.849257439
32,28989,76640,4346,4171,5572,14900,23979.0,6545.0,26191,131,1473,2340,9696,7317,5234,0.604466408107,15839763.7014,604.778882112
27,37693,103564,8861,6873,7752,14207,28338.0,9638.0,53950,754,9425,8518,6611,17784,10858,0.665061048768,41360458.4072,766.644270754
10,130486,345527,25952,17788,23410,63336,94076.0,40532.0,182366,624,18773,22955,39049,73211,27754,0.693513754837,96225747.0207,527.651793759
1,120298,245143,62539,23800,14072,19887,1816.0,118578.0,380977,427,16302,15104,177977,94906,76261,33.1216960352,214239695.668,562.342859721
15,90151,248193,12459,10394,17686,49612,81048.0,15731.0,135257,1265,17270,19805,35973,31948,28996,0.556158079163,82895358.6651,612.872965281
3,173708,438395,60054,31738,28513,53403,61350.0,116009.0,158092,172,13162,8451,33082,59195,44030,1.41571312143,133043029.498,841.554471434
6,111658,290437,17755,13644,20117,60142,74454.0,40703.0,169676,544,8631,10656,67314,57863,24668,0.749845542214,83210730.2033,490.409546449
31,39791,103435,8339,6789,8053,16610,33821.0,6100.0,24312,1822,3452,2756,4701,6777,4804,0.588258774134,19336190.1978,795.335233539
7,112409,305174,21231,14023,19125,58030,71517.0,43452.0,235545,1065,22840,9332,86811,71098,44399,0.785890068096,111898670.805,475.062815194
19,87974,202280,32617,16221,14240,24896,39486.0,49037.0,125618,95,10464,8574,31421,52120,22944,1.11398976853,80702905.2989,642.4469845
29,75187,194342,15417,12743,15367,31660,66328.0,18138.0,101685,1968,8315,10054,28477,35446,17425,0.566781751297,75605160.4883,743.523238318
12,138589,441611,27799,20339,26745,63706,113941.0,44343.0,121596,413,24733,15279,21007,36075,24089,0.608161241344,84558011.0792,695.401255627
23,61849,169953,5103,4740,9077,42929,59765.0,6311.0,60703,807,4309,6021,15812,16383,17371,0.517434953568,39344985.1729,648.155530582
22,72440,179340,11819,9098,13342,38181,50629.0,26562.0,111462,789,4701,8298,38457,43276,15941,0.71540026467,53858587.154,483.201334571
2,121075,260422,36931,21334,20405,42405,18955.0,102263.0,68063,88,2518,5253,11014,26564,22626,3.19374835136,48328281.1283,710.052174137
5,112783,317184,19729,16303,23939,52812,82535.0,33849.0,263377,1237,20243,13939,114322,79023,34613,0.683243472466,140965634.407,535.223783425
14,35986,108743,7505,4901,7028,16552,27426.0,8539.0,52497,2016,11052,9286,7367,13104,9672,0.656056296945,39529184.0,752.979865516
8,93936,236904,21087,12972,15081,44796,59507.0,37217.0,163604,357,11776,10225,45090,77227,18929,0.789285294167,85261168.7432,521.143546265
11,141370,382880,41900,26088,26890,46492,75473.0,80606.0,231088,463,23869,20228,55328,78496,52704,0.936560094338,127641154.075,552.348690001
20,122605,332346,33476,21421,23018,44690,92386.0,38663.0,103452,468,15155,10617,19847,33217,24148,0.663547507198,64683346.382,625.249839365
28,17758,45580,3371,2742,3110,8535,15096.0,2946.0,18215,1967,3428,2187,1825,5622,3186,0.588169051404,15262380.1252,837.901736215
21,109430,287324,22834,17081,22695,46820,85640.0,35825.0,128137,505,12073,12537,28984,41383,32655,0.638895375993,72300354.1746,564.24260108
13,88526,249355,18003,12065,16761,41697,73595.0,25309.0,64878,312,8947,11354,12403,21879,9983,0.601440315239,40040374.3999,617.164129596
4,62293,159291,17343,10648,11222,23080,35908.0,26471.0,22511,14,880,3069,3870,8211,6467,0.867397237384,19252157.0709,855.23331131
26,98414,273190,18883,17673,21950,39908,80930.0,16290.0,114239,2333,15147,16033,19650,34427,26649,0.608019275917,70558167.8695,617.636427748
25,60426,164470,13025,9775,12800,24826,39873.0,19769.0,54794,237,7605,6798,10314,15771,14069,0.757730795275,40320641.0647,735.858690089
